activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,2306335,[],CHEMBL960362,Inhibition of Helicobacter pylori ATCC 43504 urease assessed as ammonia production by indophenol method,B,,,BAO_0000190,BAO_0000019,assay format,N=C(Cc1ccc(O)cc1)c1ccc(O)c(O)c1,,,CHEMBL1137689,Eur J Med Chem,2009,"{'bei': '19.61', 'le': '0.36', 'lle': '2.36', 'sei': '5.64'}",CHEMBL503157,,CHEMBL503157,4.77,0,http://www.openphacts.org/units/Nanomolar,783192,=,1,1,=,,IC50,nM,,17000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,mM,UO_0000065,,0.017
,2306336,[],CHEMBL960362,Inhibition of Helicobacter pylori ATCC 43504 urease assessed as ammonia production by indophenol method,B,,,BAO_0000190,BAO_0000019,assay format,NC(Cc1ccc(O)cc1)c1ccc(O)c(O)c1O,,,CHEMBL1137689,Eur J Med Chem,2009,"{'bei': '16.56', 'le': '0.31', 'lle': '2.58', 'sei': '4.05'}",CHEMBL412199,,CHEMBL412199,4.33,0,http://www.openphacts.org/units/Nanomolar,783102,=,1,1,=,,IC50,nM,,47000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,mM,UO_0000065,,0.047
,3069498,[],CHEMBL1064672,Inhibition of Helicobacter pylori ATCC 43504 urease assessed as ammonia production after 3 hrs by indophenol method,B,,,BAO_0000190,BAO_0000019,assay format,Cc1ncc([N+](=O)[O-])n1CCOC(=O)c1cc(Cl)ccc1OCCn1c([N+](=O)[O-])cnc1C,,,CHEMBL1152646,Bioorg Med Chem,2009,"{'bei': '10.28', 'le': '0.20', 'lle': '1.82', 'sei': '3.13'}",CHEMBL593513,,CHEMBL593513,4.92,0,http://www.openphacts.org/units/Nanomolar,873387,=,1,1,=,,IC50,nM,,12000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,12.0
,3069499,[],CHEMBL1064672,Inhibition of Helicobacter pylori ATCC 43504 urease assessed as ammonia production after 3 hrs by indophenol method,B,,,BAO_0000190,BAO_0000019,assay format,CC(=O)NO,,,CHEMBL1152646,Bioorg Med Chem,2009,"{'bei': '63.53', 'le': '1.30', 'lle': '5.26', 'sei': '9.67'}",CHEMBL734,ACETOHYDROXAMIC ACID,CHEMBL734,4.77,0,http://www.openphacts.org/units/Nanomolar,873428,=,1,1,=,,IC50,nM,,17000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,17.0
,3069500,[],CHEMBL1064672,Inhibition of Helicobacter pylori ATCC 43504 urease assessed as ammonia production after 3 hrs by indophenol method,B,,,BAO_0000190,BAO_0000019,assay format,Cc1ncc([N+](=O)[O-])n1CCOC(=O)c1cc(Br)ccc1OCCn1c([N+](=O)[O-])cnc1C,,,CHEMBL1152646,Bioorg Med Chem,2009,"{'bei': '8.76', 'le': '0.19', 'lle': '1.38', 'sei': '2.91'}",CHEMBL595619,,CHEMBL595619,4.58,0,http://www.openphacts.org/units/Nanomolar,873496,=,1,1,=,,IC50,nM,,26000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,26.0
,3552085,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,Oc1ccc(CCc2ccc(O)c(O)c2O)cc1,,,CHEMBL1275289,Eur J Med Chem,2010,"{'bei': '18.25', 'le': '0.34', 'lle': '2.20', 'sei': '5.55'}",CHEMBL243822,,CHEMBL243822,4.50,0,http://www.openphacts.org/units/Nanomolar,969080,=,1,1,=,,IC50,nM,,32000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,32.0
,3552086,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,Oc1ccc(CCc2ccc(F)cc2)c(O)c1O,,,CHEMBL1275289,Eur J Med Chem,2010,"{'bei': '17.59', 'le': '0.33', 'lle': '1.64', 'sei': '7.19'}",CHEMBL1276206,,CHEMBL1276206,4.37,0,http://www.openphacts.org/units/Nanomolar,969367,=,1,1,=,,IC50,nM,,43000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,43.0
,3552087,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,Oc1ccc(CCc2ccc(Cl)cc2)c(O)c1O,,,CHEMBL1275289,Eur J Med Chem,2010,"{'bei': '16.35', 'le': '0.33', 'lle': '1.09', 'sei': '7.13'}",CHEMBL1276207,,CHEMBL1276207,4.33,0,http://www.openphacts.org/units/Nanomolar,969368,=,1,1,=,,IC50,nM,,47000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,47.0
,3552088,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,Oc1ccc(CCc2ccc(Br)cc2)c(O)c1O,,,CHEMBL1275289,Eur J Med Chem,2010,"{'bei': '13.97', 'le': '0.33', 'lle': '0.97', 'sei': '7.12'}",CHEMBL1276035,,CHEMBL1276035,4.32,0,http://www.openphacts.org/units/Nanomolar,969081,=,1,1,=,,IC50,nM,,48000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,48.0
,3552089,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,Oc1ccc(CCc2cccc(Cl)c2)c(O)c1O,,,CHEMBL1275289,Eur J Med Chem,2010,"{'bei': '16.25', 'le': '0.33', 'lle': '1.06', 'sei': '7.09'}",CHEMBL1276036,,CHEMBL1276036,4.30,0,http://www.openphacts.org/units/Nanomolar,969082,=,1,1,=,,IC50,nM,,50000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,50.0
,3552090,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,Oc1ccc(CCc2cccc(Br)c2)c(O)c1O,,,CHEMBL1275289,Eur J Med Chem,2010,"{'bei': '13.86', 'le': '0.33', 'lle': '0.93', 'sei': '7.06'}",CHEMBL1276037,,CHEMBL1276037,4.28,0,http://www.openphacts.org/units/Nanomolar,969083,=,1,1,=,,IC50,nM,,52000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,52.0
,3552091,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(CCc2ccc(O)c(O)c2O)cc1OC,,,CHEMBL1275289,Eur J Med Chem,2010,"{'bei': '14.29', 'le': '0.27', 'lle': '1.54', 'sei': '5.24'}",CHEMBL1276338,,CHEMBL1276338,4.15,0,http://www.openphacts.org/units/Nanomolar,969944,=,1,1,=,,IC50,nM,,71000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,71.0
,3552092,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,CCOc1ccc(CCc2ccc(O)c(O)c2O)cc1OCC,,,CHEMBL1275289,Eur J Med Chem,2010,"{'bei': '13.07', 'le': '0.25', 'lle': '0.77', 'sei': '5.26'}",CHEMBL1276359,,CHEMBL1276359,4.16,0,http://www.openphacts.org/units/Nanomolar,970023,=,1,1,=,,IC50,nM,,69000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,69.0
,3552093,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,CCc1ccc(O)c(O)c1O,,,CHEMBL1275289,Eur J Med Chem,2010,"{'bei': '28.99', 'le': '0.55', 'lle': '3.10', 'sei': '7.36'}",CHEMBL1276108,,CHEMBL1276108,4.47,0,http://www.openphacts.org/units/Nanomolar,969200,=,1,1,=,,IC50,nM,,34000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,34.0
,3552094,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,CCCCc1ccc(O)c(O)c1O,,,CHEMBL1275289,Eur J Med Chem,2010,"{'bei': '22.51', 'le': '0.43', 'lle': '1.95', 'sei': '6.76'}",CHEMBL1276131,,CHEMBL1276131,4.10,0,http://www.openphacts.org/units/Nanomolar,969255,=,1,1,=,,IC50,nM,,79000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,79.0
,3552095,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,CCCCCCc1ccc(O)c(O)c1O,,,CHEMBL1275289,Eur J Med Chem,2010,"{'bei': '19.22', 'le': '0.37', 'lle': '1.11', 'sei': '6.66'}",CHEMBL1276132,,CHEMBL1276132,4.04,0,http://www.openphacts.org/units/Nanomolar,969256,=,1,1,=,,IC50,nM,,91000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,91.0
,3552096,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,CCCCCCCCc1ccc(O)c(O)c1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1275289,Eur J Med Chem,2010,,CHEMBL1276133,,CHEMBL1276133,,0,http://www.openphacts.org/units/Nanomolar,969257,=,1,1,=,,IC50,nM,,103000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,103.0
,3552097,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,CCCCCCCCCCc1ccc(O)c(O)c1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1275289,Eur J Med Chem,2010,,CHEMBL1276134,,CHEMBL1276134,,0,http://www.openphacts.org/units/Nanomolar,969258,=,1,1,=,,IC50,nM,,124000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,124.0
,3552098,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,CCCCCCCCCCCCc1ccc(O)c(O)c1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1275289,Eur J Med Chem,2010,,CHEMBL1276360,,CHEMBL1276360,,0,http://www.openphacts.org/units/Nanomolar,970024,=,1,1,=,,IC50,nM,,168000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,168.0
,3552099,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,CCCCCCCCCCCCCCc1ccc(O)c(O)c1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1275289,Eur J Med Chem,2010,,CHEMBL1276361,,CHEMBL1276361,,0,http://www.openphacts.org/units/Nanomolar,970025,=,1,1,=,,IC50,nM,,250000.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,250.0
,3552100,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,Oc1ccc(CCc2ccc(O)c(O)c2)cc1,,,CHEMBL1275289,Eur J Med Chem,2010,"{'bei': '25.29', 'le': '0.47', 'lle': '3.23', 'sei': '9.60'}",CHEMBL1276205,,CHEMBL1276205,5.82,0,http://www.openphacts.org/units/Nanomolar,969366,=,1,1,=,,IC50,nM,,1500.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,1.5
,3552101,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,Oc1ccc(CCc2ccc(F)cc2)cc1O,,,CHEMBL1275289,Eur J Med Chem,2010,"{'bei': '22.42', 'le': '0.42', 'lle': '2.19', 'sei': '12.87'}",CHEMBL1276204,,CHEMBL1276204,5.21,0,http://www.openphacts.org/units/Nanomolar,969365,=,1,1,=,,IC50,nM,,6200.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,6.2
,3552102,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,Oc1ccc(CCc2ccc(Cl)cc2)cc1O,,,CHEMBL1275289,Eur J Med Chem,2010,"{'bei': '20.43', 'le': '0.41', 'lle': '1.54', 'sei': '12.56'}",CHEMBL1276106,,CHEMBL1276106,5.08,0,http://www.openphacts.org/units/Nanomolar,969198,=,1,1,=,,IC50,nM,,8300.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,8.3
,3552103,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,Oc1ccc(CCc2cccc(Cl)c2)cc1O,,,CHEMBL1275289,Eur J Med Chem,2010,"{'bei': '19.32', 'le': '0.39', 'lle': '1.26', 'sei': '11.87'}",CHEMBL1276107,,CHEMBL1276107,4.80,0,http://www.openphacts.org/units/Nanomolar,969199,=,1,1,=,,IC50,nM,,15700.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,15.7
,3552104,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,Oc1ccc(CCc2cccc(Br)c2)cc1O,,,CHEMBL1275289,Eur J Med Chem,2010,"{'bei': '16.28', 'le': '0.38', 'lle': '1.12', 'sei': '11.79'}",CHEMBL1276239,,CHEMBL1276239,4.77,0,http://www.openphacts.org/units/Nanomolar,969419,=,1,1,=,,IC50,nM,,16900.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,16.9
,3552105,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(CCc2ccc(O)c(O)c2)cc1OC,,,CHEMBL1275289,Eur J Med Chem,2010,"{'bei': '16.93', 'le': '0.32', 'lle': '1.74', 'sei': '7.88'}",CHEMBL1276240,,CHEMBL1276240,4.64,0,http://www.openphacts.org/units/Nanomolar,969420,=,1,1,=,,IC50,nM,,22700.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,22.7
,3552106,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,CCc1ccc(O)c(O)c1,,,CHEMBL1275289,Eur J Med Chem,2010,"{'bei': '38.43', 'le': '0.73', 'lle': '3.65', 'sei': '13.12'}",CHEMBL1276241,,CHEMBL1276241,5.31,0,http://www.openphacts.org/units/Nanomolar,969421,=,1,1,=,,IC50,nM,,4900.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,4.9
,3552107,[],CHEMBL1286287,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,B,,,BAO_0000190,BAO_0000019,assay format,CCCCc1ccc(O)c(O)c1,,,CHEMBL1275289,Eur J Med Chem,2010,"{'bei': '30.70', 'le': '0.58', 'lle': '2.66', 'sei': '12.61'}",CHEMBL1276242,,CHEMBL1276242,5.10,0,http://www.openphacts.org/units/Nanomolar,969422,=,1,1,=,,IC50,nM,,7900.0,CHEMBL3885651,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacterpylori),Urease subunit alpha/Urease subunit beta,85962,,,IC50,uM,UO_0000065,,7.9
